;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰氵咅
M-20370 	&I-M-20370;	⿰犭伊
M-20371 	&I-M-20371;	⿰犭并
M-20372 	&I-M-20372;	⿰犭&AJ1-17468;
M-20373 	&I-M-20373;	⿰犭米
M-20374 	&I-M-20374;	⿰犭吉
M-20375 	&I-M-20375;	⿰犭吏
M-20376 	&I-M-20376;	⿰犭朱
M-20377 	&I-M-20377;	⿰犭旬
M-20378 	&I-M-20378;	⿰犭⿸尸工
M-20379 	&I-M-20379;	⿰犭曳
M-20380 	&I-M-20380;	⿰犭𠕋
M-20381 	&I-M-20381;	⿰犭舌
M-20382 	&I-M-20382;	⿰犭多
M-20383 	&I-M-20383;	⿰犭自
M-20384 	&I-M-20384;	⿰犭戎
M-20385 	&I-M-20385;	⿰犭百
M-20386 	&M-20386;	
M-20387 	&I-M-20387;	⿰犭聿
M-20388 	&I-M-20388;	⿰犭⿱巛山
M-20389 	&I-M-20389;	⿰犭匡
M-20390 	&I-M-20390;	⿰犭守
M-20391 	&I-M-20391;	⿰犭同
M-20392 	&I-M-20392;	⿰犭休
M-20393 	&M-20393;	
M-20394 	&I-M-20394;	⿰犭老
M-20395 	&I-M-20395;	⿰犭⿹⺄&CDP-88C6;
M-20396 	&I-M-20396;	⿰犭至
M-20397 	&I-M-20397;	⿰犭件
M-20398 	𤞍	
M-20399 	&M-20399;	
M-20400 	&M-20400;	
M-20401 	&I-M-20401;	⿰犭⿱一丘
M-20402 	𤞋	
M-20403 	&M-20403;	
M-20404 	𤞊	
M-20405 	&M-20405;	⿰肙犬
M-20406 	&I-M-20406;	⿰犭虫
M-20406'	狭	⿰犭夹
M-20407 	&I-M-20407;	⿰犭吳
M-20408 	&M-20408;	
M-20409 	&I-M-20409;	⿰犭余
M-20410 	&I-M-20410;	⿰犭坒
M-20411 	&I-M-20411;	⿰犭足
M-20412 	&I-M-20412;	⿰犭孝
M-20413 	&I-M-20413;	⿰犭尨
M-20414 	&I-M-20414;	⿰犭吾
M-20415 	&M-20415;	
M-20416 	&I-M-20416;	⿰犭希
M-20417 	&I-M-20417;	⿰希犬
M-20418 	&I-M-20418;	⿱壯犬
M-20419 	&I-M-20419;	⿰犭否
M-20420 	&I-M-20420;	⿰犭更
M-20421 	&I-M-20421;	⿰犭豸
M-20422 	&I-M-20422;	⿰犭谷
M-20423 	&I-M-20423;	⿰犭豆
M-20424 	&I-M-20424;	⿰犭&CDP-8CBA;
M-20425 	&I-M-20425;	⿰犭巠
M-20426 	&I-M-20426;	⿰犭肙
M-20427 	&I-M-20427;	⿰犭里
M-20428 	&I-M-20428;	⿰犭夾
M-20429 	&I-M-20429;	⿰犭邪
M-20430 	&I-M-20430;	
M-20431 	&C2-306A;	
M-20432 	&I-M-20432;	⿰犭良
M-20433 	&I-M-20433;	⿰犭貝
M-20434 	&I-M-20434;	⿰犭折
M-20435 	&M-20435;	
M-20436 	&M-20436;	⿰犭&HD-KS-108170;
M-20437 	&I-M-20437;	⿰犭⿱卝干
M-20438 	&M-20438;	
M-20439 	&M-20439;	
M-20440 	&I-M-20440;	⿰犭⿱日工
M-20441 	&I-M-20441;	⿰犴犬
M-20442 	&M-20442;	
M-20443 	&I-M-20443;	⿰犭⿰士⿺乚士
M-20444 	&M-20444;	
M-20445 	&M-20445;	
M-20446 	&M-20446;	
M-20447 	&I-M-20447;	⿰犭皃
M-20448 	&M-20448;	
M-20449 	&I-M-20449;	
M-20450 	&M-20450;	
M-20451 	&I-M-20451;	⿰犭沙
M-20452 	&I-M-20452;	⿰犭求
M-20453 	&I-M-20453;	⿰犭利
M-20454 	&I-M-20454;	⿰犭旱
M-20455 	&I-M-20455;	⿰犭&g2-AJ1-01688;
M-20456 	&I-M-20456;	⿰犭非
M-20457 	&I-M-20457;	⿱非犬
M-20458 	&M-20458;	
M-20459 	&I-M-20459;	⿰犭沓
M-20460 	&I-M-20460;	⿰犭疌
M-20461 	&I-M-20461;	
M-20462 	&M-20462;	
M-20463 	&I-M-20463;	⿰犭卑
M-20464 	&I-M-20464;	⿰犭其
M-20465 	&I-M-20465;	⿰犭委
M-20466 	&I-M-20466;	⿰犭匊
M-20467 	&I-M-20467;	⿰犭&AJ1-18448;
M-20468 	&I-M-20468;	⿰犭兒
M-20469 	&I-M-20469;	⿱犬⿰犬犬
M-20470 	&I-M-20470;	⿰來犬
M-20471 	&I-M-20471;	⿰犭來
M-20472 	&I-M-20472;	⿰犭昔
M-20473 	&I-M-20473;	⿰犭剎
M-20474 	&M-20474;	⿰犭戔
M-20475 	&C2-372D;	⿰犭肩
M-20476 	&I-M-20476;	⿰犭炎
M-20477 	&I-M-20477;	⿰犭羌
M-20478 	&I-M-20478;	⿰犭東
M-20479 	&I-M-20479;	⿰犭昆
M-20480 	&I-M-20480;	⿰犭岸
M-20481 	&M-20481;	
M-20482 	&AJ1-18066;	⿰&C3-2755;犬
M-20483 	&I-M-20483;	⿰犭果
M-20484 	&M-20484;	
M-20485 	&I-M-20485;	⿰爿⿱&CDP-88F0;犬
M-20486 	&M-20486;	
M-20487 	&I-M-20487;	⿰犭宗
M-20488 	&I-M-20488;	⿰犭弥
M-20489 	&I-M-20489;	⿰犭易
M-20490 	&I-M-20490;	⿰犭昌
M-20491 	&I-M-20491;	⿰犭屈
M-20492 	&I-M-20492;	⿰犭咎
M-20493 	&I-M-20493;	⿰犭奇
M-20494 	&I-M-20494;	⿰犭制
M-20495 	&I-M-20495;	
M-20496 	&I-M-20496;	⿰犭卓
M-20497 	&M-20497;	
M-20498 	&I-M-20498;	⿰犭孟
M-20499 	&I-M-20499;	
M-20500 	&I-M-20500;	⿰犭卒
M-20501 	&I-M-20501;	⿱叔犬
M-20502 	&M-20502;	
M-20503 	&I-M-20503;	⿰犭&JX1-7463;
M-20504 	&I-M-20504;	⿰炙犬
M-20505 	&I-M-20505;	⿰犭受
M-20506 	&M-20506;	
M-20507 	&I-M-20507;	⿰犭忽
M-20508 	&M-20508;	
M-20509 	&M-20509;	
M-20510 	&I-M-20510;	⿰犭⿱⿺𠃊口⺼
M-20511 	&I-M-20511;	⿰犭舍
M-20511'	猪	⿰犭者
M-20512 	&I-M-20512;	⿰犭長
M-20512'	猟	
M-20513 	&I-M-20513;	⿰犭胡
M-20514 	&M-20514;	⿰犭&C4-2861;
M-20515 	&M-20515;	
M-20516 	&I-M-20516;	⿰犭&MJ034920;
M-20517 	&I-M-20517;	
M-20518 	&M-20518;	⿰犭⿸虍巾
M-20519 	&I-M-20519;	⿰犭畏
M-20520 	&M-20520;	
M-20521 	&M-20521;	
M-20522 	&M-20522;	⿰犭風
M-20523 	&I-M-20523;	⿰犭胥
M-20524 	&I-M-20524;	⿰犭&AJ1-04376;
M-20525 	&I-M-20525;	
M-20526 	&I-M-20526;	
M-20527 	&I-M-20527;	⿰犭皇
M-20528 	&I-M-20528;	⿰犭星
M-20529 	&I-M-20529;	⿰犭咸
M-20530 	&I-M-20530;	⿰盾犬
M-20531 	&I-M-20531;	⿰犭盈
M-20532 	&I-M-20532;	⿰犭軍
M-20533 	&I-M-20533;	⿰犬軍
M-20534 	&I-M-20534;	
M-20535 	&I-M-20535;	
M-20536 	&I-M-20536;	⿰犭胃
M-20537 	&I-M-20537;	⿰犭是
M-20538 	&M-20538;	⿰犭&MJ011233;
M-20539 	&I-M-20539;	⿰南犬
M-20540 	&I-M-20540;	⿰犭耑
M-20541 	&M-20541;	⿰犭耎
M-20542 	&M-20542;	
M-20543 	&I-M-20543;	
M-20544 	&I-M-20544;	⿰犭柔
M-20545 	&I-M-20545;	⿰犭思
M-20546 	&I-M-20546;	
M-20547 	&I-M-20547;	⿰犭⿹&CDP-896A;廾
M-20548 	&M-20548;	
M-20549 	&I-M-20549;	⿰虽犬
M-20550 	&I-M-20550;	⿰犭曷
M-20551 	&I-M-20551;	⿰犭叚
M-20552 	&M-20552;	
M-20553 	&I-M-20553;	⿰犭侯
M-20554 	&I-M-20554;	⿰犭矦
M-20555 	&M-20555;	
M-20556 	&I-M-20556;	⿰犭&MJ012121;
M-20557 	&HD-JT-B585;	
M-20558 	&I-M-20558;	
M-20559 	&I-M-20559;	⿰犭&CDP-8DA8;
M-20560 	&I-M-20560;	⿱㲋犬
M-20561 	&I-M-20561;	⿰犭眉
M-20562 	&I-M-20562;	⿰犭革
M-20563 	&I-M-20563;	⿰犭⿱臼又
M-20564 	&M-20564;	
M-20565 	&M-20565;	
M-20566 	&M-20566;	
M-20567 	&M-20567;	
M-20568 	&M-20568;	
M-20569 	&M-20569;	
M-20570 	&M-20570;	
M-20571 	&I-M-20571;	⿰犭⿱爫缶
M-20572 	&M-20572;	⿰犭般
M-20573 	&I-M-20573;	
M-20574 	&M-20574;	
M-20575 	&I-M-20575;	⿰犭⿱⿰&C1-4443;&C1-4443;止
M-20576 	&M-20576;	
M-20577 	&I-M-20577;	⿰犭留
M-20578 	&I-M-20578;	⿰犭尃
M-20579 	&I-M-20579;	⿰犭&g2-AJ1-03785;
M-20580 	&M-20580;	
M-20581 	&I-M-20581;	
M-20582 	&M-20582;	
M-20583 	&I-M-20583;	⿰犭&AJ1-02062;
M-20584 	&I-M-20584;	⿰犭袁
M-20585 	&I-M-20585;	⿰犭員
M-20586 	&M-20586;	
M-20587 	&M-20587;	
M-20588 	&I-M-20588;	⿰犭叟
M-20589 	&I-M-20589;	⿰犭能
M-20590 	&I-M-20590;	⿰犭蚤
M-20591 	&I-M-20591;	⿰犭哥
M-20592 	&M-20592;	
M-20593 	&MJ040803;	
M-20594 	&I-M-20594;	⿰犭⿳屮一虫
M-20595 	&I-M-20595;	⿰犭馬
M-20596 	&I-M-20596;	⿰犭原
M-20597 	&M-20597;	
M-20598 	&I-M-20598;	⿰犭差
M-20599 	&I-M-20599;	⿰豈犬
M-20600 	&I-M-20600;	⿰⿱&CDP-8D44;犬&MJ014908;
M-20601 	&I-M-20601;	⿰犭⿱囟比
M-20602 	&I-M-20602;	⿰犭恙
M-20603 	&I-M-20603;	
M-20604 	&I-M-20604;	⿰犭&C2-3251;
M-20605 	&I-M-20605;	⿰犭&GT-36863;
M-20606 	&M-20606;	
M-20607 	&I-M-20607;	⿰犭盍
M-20608 	&M-20608;	
M-20609 	&I-M-20609;	⿰犭師
M-20610 	&I-M-20610;	⿰犭皋
M-20611 	&I-M-20611;	
M-20612 	&M-20612;	
M-20613 	&M-20613;	
M-20614 	&M-20614;	
M-20615 	&I-M-20615;	⿰犭⿱右冋
M-20616 	&M-20616;	⿰犭益
M-20617 	&M-20617;	
M-20618 	&I-M-20618;	⿰犭栗
M-20619 	&I-M-20619;	⿰犭&AJ1-02567;
M-20620 	&M-20620;	
M-20621 	&I-M-20621;	⿰犭帶
M-20622 	&I-M-20622;	⿰犭畢
M-20623 	&M-20623;	
M-20624 	&I-M-20624;	⿱⿰⿱士冗&MJ014908;犬
M-20625 	&I-M-20625;	⿰犭戚
M-20626 	&I-M-20626;	⿰犭曼
M-20627 	&I-M-20627;	
M-20628 	&M-20628;	
M-20629 	&I-M-20629;	⿰犭堅
M-20630 	&I-M-20630;	⿰犭羕
M-20631 	&I-M-20631;	⿰犭&MJ011018;
M-20632 	&I-M-20632;	⿰犭&g2-AJ1-17303;
M-20633 	&M-20633;	
M-20634 	&M-20634;	⿰犭婁
M-20635 	&I-M-20635;	⿰犭欶
M-20636 	&I-M-20636;	⿰犭巢
M-20637 	&I-M-20637;	⿱將犬
M-20638 	&HD-KS-231660;	⿰犭&C1-5C7B;
M-20639 	&I-M-20639;	⿲犭車攵
M-20640 	&I-M-20640;	⿰犭⿱厽尒
M-20641 	&I-M-20641;	⿰犭從
M-20642 	&I-M-20642;	⿰犭參
M-20643 	&I-M-20643;	
M-20644 	&M-20644;	
M-20645 	&I-M-20645;	⿰犭斬
M-20646 	&I-M-20646;	
M-20647 	&M-20647;	⿰犭敖
M-20648 	&M-20648;	
M-20649 	&I-M-20649;	⿰⿱甘肉犬
M-20650 	&M-20650;	
M-20651 	&I-M-20651;	⿰犭⿱⺿&CDP-886A;
M-20652 	&I-M-20652;	⿰犭患
M-20653 	&I-M-20653;	⿰犭晨
M-20654 	&M-20654;	
M-20655 	&M-20655;	
M-20656 	&M-20656;	
M-20657 	&M-20657;	
M-20658 	&I-M-20658;	⿰犭叄
M-20659 	&M-20659;	
M-20660 	&M-20660;	
M-20661 	&M-20661;	
M-20662 	&M-20662;	
M-20663 	&M-20663;	
M-20664 	&I-M-20664;	⿰犭皐
M-20665 	&I-M-20665;	
M-20666 	&I-M-20666;	⿰犬責
M-20667 	&I-M-20667;	⿰犭⿱自𠦂
M-20668 	&I-M-20668;	⿰犭虛
M-20669 	&I-M-20669;	⿰犭賁
M-20670 	&I-M-20670;	⿰犭⿱而而
M-20671 	&I-M-20671;	⿰犭厥
M-20672 	&I-M-20672;	
M-20673 	&M-20673;	⿰犭敝
M-20674 	&M-20674;	⿰犭閒
M-20675 	&M-20675;	⿰犭閑
M-20676 	&M-20676;	⿰犭黄
M-20677 	&I-M-20677;	⿰犭惢
M-20678 	&M-20678;	
M-20679 	&I-M-20679;	⿰犭菐
M-20680 	&M-20680;	⿰犭粦
M-20681 	&M-20681;	⿰粦犬
M-20682 	&I-M-20682;	⿰犭爲
M-20683 	&I-M-20683;	⿰犭隋
M-20684 	&I-M-20684;	⿰犭矞
M-20685 	&I-M-20685;	⿰犭厤
M-20686 	&I-M-20686;	⿰犭番
M-20687 	&I-M-20687;	⿰犭童
M-20688 	&I-M-20688;	⿰犭壹
M-20689 	&I-M-20689;	⿰犭&AJ1-01526;
M-20690 	&I-M-20690;	⿰犭堯
M-20691 	&I-M-20691;	⿰犭彭
M-20692 	&I-M-20692;	⿰犭尞
M-20693 	&I-M-20693;	⿰犭然
M-20694 	&I-M-20694;	⿰犭⿱&CDP-8BB5;火
M-20695 	&I-M-20695;	⿰犭⿱臼&CDP-8DBF;
M-20696 	&I-M-20696;	⿰犭單
M-20697 	&I-M-20697;	⿰犭喬
M-20698 	&I-M-20698;	⿰犭貴
M-20699 	&I-M-20699;	⿰犭焦
M-20700 	&I-M-20700;	⿰犭開
M-20701 	&I-M-20701;	⿲犭東欠
M-20702 	&I-M-20702;	⿰⿱⿰口口虫犬
M-20703 	&M-20703;	
M-20704 	&I-M-20704;	⿰犭⿱𠦃⿳八𠆢十
M-20705 	&M-20705;	
M-20706 	&I-M-20706;	⿰犭⿱臼匃
M-20707 	&I-M-20707;	⿰犭⿱⿰歹攵丗
M-20708 	&M-20708;	
M-20709 	&M-20709;	
M-20710 	&I-M-20710;	⿰犭⿱右⿵&CDP-8C58;山
M-20711 	&I-M-20711;	⿰答犬
M-20712 	&M-20712;	
M-20713 	𤢀	
M-20714 	&M-20714;	
M-20714'	獣	
M-20715 	&M-20715;	
M-20716 	&M-20716;	
M-20717 	&M-20717;	
M-20718 	&I-M-20718;	⿰犭馵
M-20719 	&I-M-20719;	⿰犭當
M-20720 	&M-20720;	
M-20721 	&I-M-20721;	⿰犭敫
M-20722 	&I-M-20722;	⿰犭農
M-20723 	&I-M-20723;	
M-20724 	&I-M-20724;	⿰犭睘
M-20725 	&I-M-20725;	⿰犭蜀
M-20726 	&I-M-20726;	⿰蜀犬
M-20727 	&M-20727;	
M-20728 	&I-M-20728;	⿰犭歲
M-20729 	&I-M-20729;	⿰犭會
M-20730 	&I-M-20730;	⿰犭僉
M-20731 	&I-M-20731;	⿰犭葵
M-20732 	&M-20732;	
M-20733 	&M-20733;	⿰犭豦
M-20734 	&I-M-20734;	
M-20735 	&I-M-20735;	⿰犭歇
M-20736 	&I-M-20736;	⿰睪犬
M-20737 	&I-M-20737;	⿰犭喿
M-20738 	&I-M-20738;	⿰犭雷
M-20739 	&M-20739;	
M-20740 	&I-M-20740;	⿰犭⿱𡗜炅
M-20741 	&I-M-20741;	⿰⿱⿰厶厶禺犬
M-20742 	&I-M-20742;	⿰犭路
M-20743 	&M-20743;	
M-20744 	&M-20744;	
M-20745 	&M-20745;	
M-20746 	&M-20746;	
M-20747 	&I-M-20747;	⿰犭&AJ1-01538;
M-20748 	&I-M-20748;	⿰犭爾
M-20749 	&M-20749;	
M-20750 	&I-M-20750;	⿰犭⿳冖臼&CDP-8DBF;
M-20751 	&I-M-20751;	⿰犭與
M-20752 	&M-20752;	
M-20753 	&I-M-20753;	
M-20754 	&I-M-20754;	⿰犭熏
M-20755 	&I-M-20755;	⿰犭寧
M-20756 	&I-M-20756;	⿰犭賓
M-20757 	&M-20757;	
M-20758 	&I-M-20758;	
M-20759 	&I-M-20759;	⿰犭⿳巛𠔿&CDP-8D46;
M-20760 	&I-M-20760;	⿰犭需
M-20761 	&C4-566C;	⿰犭&C1-6A60;
M-20762 	&M-20762;	⿰犭⿱炎舛
M-20763 	&M-20763;	
M-20764 	&I-M-20764;	⿰犭樂
M-20765 	&I-M-20765;	⿰犭&MJ007965;
M-20766 	&M-20766;	
M-20767 	&I-M-20767;	⿰犭⿹𢦏韭
M-20768 	&I-M-20768;	⿰犭&CDP-8D47;
M-20769 	&M-20769;	
M-20770 	&C2-622C;	⿰犭&MJ011890;
M-20771 	&I-M-20771;	⿰犭畾
M-20772 	&I-M-20772;	⿰犭頡
M-20773 	&M-20773;	⿰犭窳
M-20774 	&I-M-20774;	
M-20775 	&I-M-20775;	⿰嘼犬
M-20776 	&M-20776;	
M-20777 	&I-M-20777;	⿰犭魯
M-20777'	𤢻	⿰犭慸
M-20778 	&M-20778;	⿰犭歷
M-20779 	&M-20779;	
M-20780 	&I-M-20780;	⿰犭盧
M-20781 	&M-20781;	
M-20782 	&I-M-20782;	
M-20783 	&I-M-20783;	
M-20784 	&I-M-20784;	
M-20785 	&M-20785;	
M-20786 	𤣌	
M-20786'	&GT-26606;	
M-20787 	&M-20787;	⿰犭⿱雨並
M-20788 	&I-M-20788;	⿰犭彌
M-20789 	&I-M-20789;	
M-20790 	&I-M-20790;	⿰犭戲
M-20791 	&I-M-20791;	⿰犭霝
M-20792 	&I-M-20792;	⿰犭韱
M-20793 	&I-M-20793;	⿰犭毚
M-20794 	&M-20794;	
M-20795 	&M-20795;	
M-20796 	&M-20796;	
M-20797 	&M-20797;	
M-20798 	&C2-6B6B;	
M-20799 	&M-20799;	
M-20800 	&M-20800;	
M-20801 	&M-20801;	
M-20802 	&I-M-20802;	⿰犭⿳丷&CDP-8CD4;政
M-20803 	&I-M-20803;	
M-20804 	&I-M-20804;	
M-20805 	&M-20805;	
M-20806 	&I-M-20806;	⿰犭蘄
M-20807 	&I-M-20807;	
M-20808 	&I-M-20808;	⿰犭⿱⿻𦥑囟辰
M-20809 	&I-M-20809;	⿰犭⿱爾虫
M-20810 	&I-M-20810;	⿰犭覽
M-20811 	&I-M-20811;	⿰犭嚻
M-20812 	&I-M-20812;	⿰犭⿳⿰口口貢⿰口口
M-20813 	&I-M-20813;	⿰犭靈
M-20814 	&I-M-20814;	
M-20815 	&I-M-20815;	
M-20816 	&I-M-20816;	
M-20817 	&MJ017115;	
M-20817'	&MJ017116;	
M-20818 	&M-20818;	
M-20819 	&M-20819;	⿰玄⿱山⿱𠂉⺊
M-20820 	&C6-5E72;	⿰玄曷
M-20821 	&I-M-20821;	
M-20822 	&I-M-20822;	
M-20823 	&I-M-20823;	
M-20824 	&I-M-20824;	
M-20825 	&M-20825;	
M-20826 	&I-M-20826;	⿰⺩乚
M-20827 	&I-M-20827;	⿱王&CDP-88CD;
M-20828 	&I-M-20828;	⿰⺩厶
M-20829 	&I-M-20829;	⿰⺩丩
M-20830 	&I-M-20830;	⿰⺩丁
M-20831 	&I-M-20831;	⿰⺩力
M-20832 	&I-M-20832;	⿰⺩卜
M-20833 	&I-M-20833;	
M-20834 	&I-M-20834;	⿰⺩刂
M-20835 	&M-20835;	
M-20836 	&M-20836;	
M-20837 	&I-M-20837;	⿰⺩工
M-20838 	&M-20838;	
M-20839 	&I-M-20839;	⿰⺩乞
M-20840 	&I-M-20840;	⿰⺩乇
M-20841 	&I-M-20841;	
M-20842 	&I-M-20842;	⿰⺩土
M-20843 	&I-M-20843;	⿰⺩子
M-20844 	&I-M-20844;	⿰⺩川
M-20845 	&I-M-20845;	⿰⺩干
M-20846 	&I-M-20846;	⿰⺩久
M-20847 	&I-M-20847;	⿰⺩于
M-20848 	&I-M-20848;	⿰⺩己
M-20849 	&I-M-20849;	⿰⺩亏
M-20850 	&M-20850;	
M-20851 	&M-20851;	
M-20852 	&I-M-20852;	⿰⺩么
M-20853 	&I-M-20853;	⿰⺩尹
M-20854 	&I-M-20854;	⿰⺩爪
M-20855 	&I-M-20855;	
M-20856 	&I-M-20856;	⿰⺩午
M-20857 	&I-M-20857;	⿰⺩夫
M-20858 	&I-M-20858;	⿰⺩帀
M-20859 	&I-M-20859;	⿱仍玉
M-20860 	&I-M-20860;	
M-20861 	&I-M-20861;	⿰⺩介
M-20862 	&I-M-20862;	⿰⺩牙
M-20863 	&I-M-20863;	
M-20864 	&I-M-20864;	⿰⺩卞
M-20865 	&M-20865;	
M-20866 	&I-M-20866;	⿰⺩⿱&CDP-8B6C;又
M-20867 	&I-M-20867;	⿰⺩月
M-20868 	&M-20868;	⿰⺩&g2-MJ006315;
M-20869 	&I-M-20869;	⿰⺩夬
M-20870 	&I-M-20870;	⿰⺩允
M-20871 	&I-M-20871;	⿰⺩王
M-20872 	&I-M-20872;	⿰⺩元
M-20873 	&I-M-20873;	⿰⺩&g2-AJ1-02067;
M-20874 	&I-M-20874;	⿰⺩攵
M-20875 	&M-20875;	
M-20876 	&I-M-20876;	⿰⺩丹
M-20877 	&M-20877;	⿱&g2-AJ1-13966;玉
M-20878 	&M-20878;	
M-20879 	&I-M-20879;	⿰⺩比
M-20880 	&I-M-20880;	⿰⺩犬
M-20881 	&I-M-20881;	⿰⺩欠
M-20882 	&M-20882;	⿰⺩旡
M-20883 	𤤊	
M-20884 	&M-20884;	
M-20885 	&I-M-20885;	⿰⺩𢆰
M-20886 	&M-20886;	
M-20887 	&I-M-20887;	⿰⺩叏
M-20888 	&I-M-20888;	
M-20889 	&I-M-20889;	⿰⺩代
M-20890 	&M-20890;	
M-20891 	&I-M-20891;	⿰⺩世
M-20892 	&I-M-20892;	⿰⺩甘
M-20893 	&I-M-20893;	
M-20894 	&I-M-20894;	
M-20895 	&I-M-20895;	⿰⺩占
M-20896 	&I-M-20896;	⿰⺩包
M-20897 	&I-M-20897;	⿰⺩斥
M-20898 	&I-M-20898;	
M-20899 	&I-M-20899;	⿰⺩皮
M-20900 	&I-M-20900;	⿰⺩此
M-20901 	&I-M-20901;	⿰⺩句
M-20902 	&I-M-20902;	⿰⺩甲
M-20903 	&I-M-20903;	⿰⺩召
M-20904 	&I-M-20904;	⿰⺩白
M-20905 	&I-M-20905;	⿰⺩瓦
M-20906 	&I-M-20906;	⿰⺩可
M-20907 	&I-M-20907;	
M-20908 	&I-M-20908;	
M-20909 	&I-M-20909;	⿰⺩生
M-20910 	&I-M-20910;	⿰⺩申
M-20911 	&I-M-20911;	
M-20912 	&I-M-20912;	⿰⺩台
M-20913 	&I-M-20913;	
M-20914 	&I-M-20914;	⿰⺩且
M-20915 	&I-M-20915;	⿰⺩加
M-20916 	&I-M-20916;	⿰⺩民
M-20917 	&MJ017188;	
M-20918 	&I-M-20918;	⿰⺩卯
M-20919 	&I-M-20919;	⿰⺩必
M-20920 	&I-M-20920;	⿰⺩㐱
M-20921 	&I-M-20921;	⿰⺩尔
M-20922 	&I-M-20922;	⿰⺩目
M-20923 	&I-M-20923;	⿰⺩𡵄
M-20924 	𤤱	
M-20925 	&I-M-20925;	⿰⺩⿰工几
M-20926 	&I-M-20926;	⿰⺩玉
M-20927 	&I-M-20927;	⿰⺩用
M-20928 	&I-M-20928;	
M-20929 	&I-M-20929;	
M-20930 	&I-M-20930;	
M-20931 	&I-M-20931;	⿰⺩囙
M-20932 	&I-M-20932;	
M-20933 	&I-M-20933;	
M-20934 	&I-M-20934;	⿰⺩去
M-20935 	&I-M-20935;	⿱尔玉
M-20936 	&I-M-20936;	⿰⺩聿
M-20937 	&I-M-20937;	
M-20938 	&I-M-20938;	
M-20939 	&I-M-20939;	⿰⺩存
M-20940 	&I-M-20940;	⿰⺩劦
M-20941 	&I-M-20941;	
M-20942 	&I-M-20942;	⿰⺩光
M-20943 	&I-M-20943;	⿰⺩先
M-20944 	&I-M-20944;	⿰⺩舟
M-20945 	&I-M-20945;	⿰⺩共
M-20946 	&I-M-20946;	
M-20947 	&I-M-20947;	⿰⺩因
M-20948 	&I-M-20948;	
M-20949 	&I-M-20949;	⿰⺩有
M-20950 	&I-M-20950;	⿰⺩羊
M-20951 	&I-M-20951;	
M-20952 	&I-M-20952;	
M-20953 	&I-M-20953;	⿰⺩各
M-20954 	&I-M-20954;	⿰⺩夙
M-20955 	&I-M-20955;	
M-20956 	&I-M-20956;	⿰⺩朱
M-20957 	&I-M-20957;	⿱玨𠆢
M-20958 	&I-M-20958;	
M-20959 	&I-M-20959;	
M-20960 	&I-M-20960;	
M-20961 	&I-M-20961;	⿰⺩艮
M-20962 	&I-M-20962;	⿰⺩旬
M-20963 	&I-M-20963;	⿰⺩缶
M-20964 	&I-M-20964;	
M-20965 	&I-M-20965;	
M-20966 	&I-M-20966;	
M-20967 	&I-M-20967;	⿰⺩向
M-20968 	珧	⿰⺩兆
M-20969 	&I-M-20969;	⿰⺩合
M-20970 	&I-M-20970;	
M-20971 	&I-M-20971;	⿰⺩行
M-20972 	&I-M-20972;	⿰⺩圭
M-20973 	&M-20973;	⿰⺩&g2-MJ007216;
M-20974 	&I-M-20974;	⿰⺩戌
M-20975 	&I-M-20975;	
M-20976 	&I-M-20976;	⿲王&CDP-8BEA;王
M-20977 	&I-M-20977;	⿰⺩𫥞
M-20978 	&C1-565E;	
M-20979 	&I-M-20979;	
M-20980 	&I-M-20980;	
M-20981 	&I-M-20981;	
M-20982 	&I-M-20982;	⿰⺩老
M-20983 	&I-M-20983;	
M-20984 	&I-M-20984;	
M-20985 	&I-M-20985;	⿰⺩彣
M-20986 	&I-M-20986;	
M-20987 	&I-M-20987;	⿰⺩我
M-20988 	&I-M-20988;	⿰⺩&I-M-03363;
M-20989 	&I-M-20989;	⿰⺩弟
M-20990 	&I-M-20990;	⿰⺩武
M-20991 	𤥗	
M-20992 	&I-M-20992;	
M-20993 	&I-M-20993;	⿰⺩吾
M-20994 	&I-M-20994;	
M-20995 	&I-M-20995;	
M-20996 	&I-M-20996;	
M-20997 	&I-M-20997;	⿰⺩君
M-20998 	&I-M-20998;	⿰⺩每
M-20999 	&I-M-20999;	
M-21000 	&I-M-21000;	⿰⺩貝
M-21001 	&I-M-21001;	
M-21002 	&I-M-21002;	
M-21003 	&I-M-21003;	
M-21004 	&I-M-21004;	⿰⺩見
M-21005 	&I-M-21005;	
M-21006 	&I-M-21006;	⿰⺩足
M-21007 	&I-M-21007;	⿰⺩&AJ1-01562;
M-21008 	&I-M-21008;	⿰⺩𭻾
M-21009 	&M-21009;	
M-21010 	&M-21010;	
M-21011 	&I-M-21011;	⿰⺩求
M-21012 	&I-M-21012;	⿰⺩肙
M-21013 	&I-M-21013;	⿰⺩良
M-21014 	&I-M-21014;	⿰⺩里
M-21015 	&I-M-21015;	⿰⺩秀
M-21016 	&M-21016;	⿰⺩&MJ010060;
M-21017 	&I-M-21017;	
M-21018 	&I-M-21018;	⿰⺩邪
M-21019 	&I-M-21019;	
M-21020 	&I-M-21020;	
M-21021 	&I-M-21021;	⿰⺩希
M-21022 	&I-M-21022;	
M-21023 	&I-M-21023;	
M-21024 	&I-M-21024;	⿰⺩岑
M-21025 	&I-M-21025;	
M-21026 	&I-M-21026;	
M-21027 	&I-M-21027;	
M-21028 	&I-M-21028;	⿰⺩利
